ID,collection_year,country,div_domain,div_type,performance,N_team,N_ind,students
10.1108/13527600410797918,,,,,group decision effectiveness and interaction patterns,,,no
2330,,,,,Team performance,,,no
10.1037/0022-3514.34.5.782,1976,,,,Creativity,42,,yes
10.5465/apbpp.1999.27622376,,,demographic,,Decision making tasks,"43, 40","156, 148",no
10.1007/s11365-019-00603-7,2019,,demographic,Gender,Technology-based entrepreneurial performance,30,,yes
10.1109/hicss.2012.64,2012,,demographic,Personality (conscientiousness),Team performance,61,,no
10.1002/smj.4250150206,1994,,,,,,,
2542,,,demographic,ethnic,productivity,,,
10.1177/135050769002100406,,,,,,,,
10.1002/job.785,,,,,Team task performance and communication performance,,,
10.1002/jocb.93,,,job-related,Cultural,Creativity,57,384,no
10.1177/1059601110390833,,,,,Adaptive performance,35,120,no
10.1037/apl0000039,2015,,,,Group and organizational performance,30 Major League Baseball teams,,no
10.1177/10596011211029411,2021,Taiwan,,,Team innovation,,"299 team members, 65 leaders",no
10.5465/ambpp.2016.15326abstract,,,,,,,,
10.1016/j.techfore.2021.121061,,Italy,cognitive; job-related,,Growth performance,,,no
10.2139/ssrn.2441157,,Israel,,,innovation/creativity,,,
10.1177/001872679604900506,,,,,High performance and employee quality of work life,,,no
10.1109/access.2022.3222845,2013,,cognitive,Personality traits,Software quality and team productivity,,,yes
33147,2009 [2004-2014],,,,Firm performance in international context,,,no
33156,99 (year 2010),,job-related; demographic,"Task-related (education background, functional expertise, and year of service) and Demographic (gender, age, and race)",Team innovation,122,689,no
33158,99,,demographic,Bio-demographic and task-related,Team innovation,104,460 team members and 104 team managers (564 questionnaires in total),no
10.1007/978-981-13-1799-6_38,2019,,demographic,Gender,Software development,,,no
10.1287/orsc.2014.0912,,,,Nationality,Creativity,82,,yes
10.1177/0149206314535436,,,,Ethnic,Work unit performance,,743 employees.,no
33220,,,cognitive,"Informational , social-category , and value",Innovative behavior,39,215,no
39845,,,demographic,,Innovation adoption,,199,no
33321,,Taiwan,cognitive,,Group effectiveness,36,201,no
33344,2011.5 [2011-2012],Taiwan,,Educational level and background,Firm's performance,32,,no
33354,2017,Taiwan,cognitive,Heterogeneity,Outbound Open Innovation,,160 companies,no
10.2139/ssrn.3637908,,,,,Team performance,,,no
33453,2006.5 [2000-2013],,demographic,Internationalization,Win ratio and playoffs,30,,no
33454,101,,job-related,,Innovation,24,,no
4172,,,,Functional,Team creativity,,,
33503,97 (1997),,job-related,"Member (gender, expertise heterogeneity, tenure , education )",Team performance,71,215,no
10.1007/s13132-011-0079-y,,,,,Task performance and cooperation satisfaction,62,234,no
10.5465/ambpp.2016.11544abstract,,,,,Team performance,,,
15703,,,,,Firm performance,,,no
10.1300/j147v22n01_04,,,,,commitment satisfaction and others,,,
39642,,,job-related,Polychronicity,Task-oriented group performance,50,192,no
10.5465/ambpp.2014.15774abstract,,,cognitive,,Business team performance,49,573,yes
10.2139/ssrn.2183095,,,cognitive,,Team performance,,,no
10.1080/14778238.2020.1784050,2019,,,,,6,,no
10.1108/jkm-06-2016-0221,,,job-related,Deep-level and functional-level,Innovation,,,no
10.5465/ambpp.2014.15671abstract,,Italy,cognitive,,Academic spin-off performance,172,,no
10.1007/s10961-017-9623-7,,,job-related,,Innovation and Sales,164,,no
10.1111/radm.12160,,China,job-related,,Creativity,,,no
10.1504/ejim.2015.071535,2015,,cognitive,Achievement motivation,Entrepreneurial team performance,,,no
10.1177/1046496420958131,,,job-related,Task knowledge,Team performance,62,336,no
10.1002/bse.3286,2015.5 [2011-2020],China,,,Long-term performance,,,no
10.1108/md-02-2014-0066,,Austria,job-related,Need for Achievement,Team effectiveness and efficiency,44,,no
6665,,China,,,Team performance,46,320,no
10.5465/ambpp.2022.16600symposium,,"United States, Israel",,,Quality outcomes in perioperative cancer care,,,no
10.5465/ambpp.2019.12165symposium,,,,,,,,
10.1037/a0023254,,,job-related,,Team performance,79,,no
39600,,,job-related,Values,Knowledge creation and absorption,1,51,no
10.1016/j.pursup.2016.07.004,,,cognitive,Affective,Team performance,88,234,no
10.1037/1089-2699.8.2.83,,,job-related,,Affective reactions,79,,yes
10.1108/ebhrm-04-2019-0033,,,job-related,Age and tenure,Routine task,,,no
10.5465/ambpp.2022.17907abstract,,,demographic,Age,Team performance,109,1441,no
10.1002/job.2570,,,,Age,Team performance,,"Study 1- 254, Study 2-434, Study 3-1784",no
10.1002/job.698,2010,,demographic,Age,Overall firm performance,,"8,651",no
10.1108/raf-09-2021-0232,,United States,demographic,Age,Firm performance and managerial ability,,,no
10.1111/1748-8583.12197,,South Korea,demographic,Age,Group Organizational Citizenship Behaviour (GOCB) and group performance,99,,no
10.5465/ambpp.2014.12011abstract,,,demographic,Age-gender,Team innovative performance,89,,no
10.1007/978-3-319-24804-2_9,2015,,,,Creativity,,,no
10.5465/ambpp.2017.15789abstract,,,job-related,,Integrated patient care,17,,no
7430,,,job-related,,Task performance and viability of teams,59,294,yes
33619,,,,,Task performance and viability,59,294,yes
10.1287/mnsc.2021.4274,,,cognitive,,Creativity and coordination tasks,117,,no
10.5465/ambpp.2018.17474abstract,,,demographic,Gender,Patenting,2851,,no
10.1002/smj.869,,,job-related,"Partner, functional, and governance",Firm performance,,,no
10.1016/j.chb.2013.10.064,,,job-related,Role and Gender,Team creativity,,,no
10.17159/sajs.2018/20170331,,,job-related,,Efficiency,5,,no
10.1080/07421222.2004.11045809,,,demographic,Cultural,Group performance,,,no
43383,,,job-related,Deep-level and functional-level,Innovation,,166,no
33731,97,Taiwan,,,Marketing performance,166,527,no
33732,,Taiwan,demographic,,Innovativeness and Organizational Performance,,178,no
10.1111/j.1476-8691.2005.00338.x,,Singapore,job-related,Functional,Innovation,,,no
10.1504/ijtpm.2020.111494,2020,,job-related,Task-related,Entrepreneurial performance,20,421,no
10.1080/14479338.2014.11081991,,,,,Creativity/Innovativeness,108,,no
4674,,United States,demographic,,Team processes and team outcomes,53,162,yes
10.1111/j.1744-6570.1997.tb00703.x,,,,,Objective and subjective measures of group performance,,,no
10.1177/1059601107312170,,,,Functional,Team performance ratings,33,More than 200,no
10.1111/j.1744-6570.2005.00480.x,,,,,"Task performance, social cohesion",45,220,no
33780,Time 1 (1998-2000); Time 2 (2003),Ireland,,,Innovation,35,,no
33792,91 (1991),Taiwan,,,Innovation behavior,,,no
10.1007/s10869-014-9373-6,,,,,Manuscript quality and publication success,,,no
33800,,,job-related,Work group (including gender),"Team effectiveness, individual innovation behaviors",28,101,no
10.1287/orsc.2019.1297,2020,35 countries,,Gender,Firm performance,,"1,069 leading public firms around the world",no
10.1037/apl0000942,,,demographic,Gender,Task performance in self-managing teams,"66 (Study 1), 67 (Study 2)",,no
33836,99,Taiwan,,,Patient satisfaction,60,,no
10.1109/cssr.2010.5773856,2010,,cognitive,,Team performance,,,no
10.1016/j.emj.2017.02.002,,,demographic,Gender,Performance,,248,no
10.1287/mnsc.1050.0425,,,,,Customer-perceived service quality and service profitability,60,,no
10.2139/ssrn.1299260,,,cognitive; job-related,Information,Creativity and innovation,,,no
17434,,,,,,,,no
33923,2008,,,,,,,no
6338,,United States,,,Firm performance,,,no
10.5465/ambpp.2015.11752symposium,,,,,,,,
10.1111/j.1467-8691.2010.00574.x,2010,United States,,,Creativity,82,,yes
10.1111/caim.12285,,United Kingdom,,,Innovation,72 teams and 113 teams,,no
10.1016/j.ijme.2016.11.001,,,,,Case study performance,,,yes
10.1080/17452007.2013.802980,,Sri Lanka,,,Team performance,,,no
10.1016/s0090-2616(01)00049-3,,,demographic; cognitive; job-related,ethnic (implied),productivity and innovation (implied),,,
10.1111/corg.12130,,Italy,job-related,,Firm performance,97,584,no
10.1016/s0313-5926(09)50034-3,,Germany,,"Age, race and tenure",Outcome of soccer games,,,no
10.1177/1046496418755920,,,demographic,Marital,group outcomes,,,no
10.1080/09585192.2011.610948,,,,National,Team Performance,4284,,no
10.1037/a0035640,,India,,Polychronicity,Team Performance,71,,no
10.1177/1368430220930410,,,,,Interdependent decision-making,,,
33991,2014.5 [2012-2017],,job-related,Gender,"Firm risk, Firm performance, Executive compensation",,,no
10.5465/ambpp.2016.15152abstract,,China,demographic,heterogeneity,Firm outcomes,,,no
34016,2003,Taiwan,job-related,,"Creativity, productivity and innovation",7,97,no
34023,,,demographic,,"Relationship and task conflict, and workgroup outcomes in terms of individual member's satisfaction, commitment, liking, and intent to stay",95 workgroups,389,no
4240,,,demographic,,Firm Performance,,,no
10.31436/ijcs.v3i2.130,,Malaysia,,,Nursing team performance (team task performance and team contextual performance),300,1436,no
10.1109/tpc.2020.3029674,,,job-related,,Collaboration,,,no
10.1007/s10997-020-09548-4,2003 [1996-2010],United States,job-related,Demographic -Relations-oriented and Task-oriented in audit committee,Financial restatements (fraud-related and error-related),,,no
10.1108/maj-10-2018-2048,2015 [2013-2017],Iran,demographic,Gender (Audit committee),Financial restatements,,,no
20097,,,demographic,,Knowledge sharing,51,265,no
10.1016/j.lisr.2012.03.001,2005 [2004-2006],,,,Publication impact (measured by the number of citations received),,476 scientists,no
10.3724/sp.j.1041.2016.00556,,China,,Gender and knowledge,Team creativity,80,451,yes
10.1097/hmr.0000000000000088,2017,,cognitive,,Innovation,75,,no
10.1016/j.respol.2017.09.002,,,,,creativity,,,no
10.22452/mjcs.vol29no2.5,,,,,Creativity,,,yes
10.1007/s10843-015-0143-y,,Italy,,"Entrepreneur(s) demography, background, and experience",Internationalization and Innovation,88,,no
10.2307/2393615,,,demographic,,"Social interaction, conflict, productivity, perceptions of creativity",,258 MBA students,yes
10.5465/ambpp.2018.18126abstract,,,job-related,Expertise,Collaborative problem solving,,2143,no
10.1108/jmd-08-2011-0098,,,,Belbin role,Team performance (measured by grade received for year-end report and financial results achieved),24,144,yes
10.1177/1368430209344866,,,cognitive,Task-related,Team decision-making and team perceptions,,,
10.3389/fpsyg.2021.745991,,China,,,Creativity,58,251 postgraduates,yes
10.1016/j.acalib.2007.12.001,,,demographic; cognitive; job-related,Ethnic,creativity,,,no
10.1093/acprof:oso/9780195147308.003.0004,,,,,creativity,,,
21485,,,demographic; cognitive,Three demographic and two cognitive variables,Extreme team performance,35,,no
10.2308/accr-51818,2010 [2008-2012],United States,,,"Firm performance, CEO turnover-performance sensitivity, and abnormal CEO compensation",,,no
10.5465/ambpp.2020.21373abstract,,Denmark,cognitive,Neurological,Team performance,"5,452",,no
10.5465/ambpp.2015.12677symposium,,,,National culture,Individual and team-level outcomes,,,no
10.1037/pspi0000071,,,job-related,Ethnic,Creativity and persistence,,,no
10.1080/10400419.2019.1697920,,,job-related,Value,Creativity,98,,no
10.1111/irel.12188,,Germany,job-related,Place-of-origin,Individual and team performance,28,1723,no
10.1007/s11187-011-9358-z,,,job-related,Start-up experience,Persistence and performance,202,,no
10.1016/j.labeco.2022.102288,,Germany,demographic,Birthplace,Team performance,,3266 players,no
10.1287/orsc.2018.1268,,,demographic,National and Expertness,Conjunctive and Disjunctive,,"5,214 Himalayan climbing expeditions and 366 groups in a laboratory experiment",no
10.5465/ambpp.2019.10897abstract,,,demographic,Nationality,Team learning and objective team performance (hand hygiene performance and patient satisfaction),,,no
10.1111/emre.12139,,,cognitive; demographic,,Board advisory tasks (Functional and firm-specific),,,no
10.1016/j.jbusres.2018.04.033,2006 [1998-2014],,job-related,Task-oriented (tenure and expertise),Corporate investment oversight,,,no
10.1080/15309576.2021.1914691,,South Korea,demographic,"Gender , insider/outsider, tenure, and occupation",Board monitoring,,,no
10.1080/00208825.2015.1005992,,Norway,demographic; cognitive,Board member background and personality (deep-level ),Board creativity and cognitive conflict,,385,no
10.1016/j.jfbs.2016.10.002,2016,,demographic,"family-membership, type of directorship, and gender",board role performance (control and service),,,no
10.1111/caim.12532,,,job-related,Functional,New Product Performance (Quality and Creativity),140,,no
10.5465/ambpp.2019.19683abstract,,,job-related,Ethnic,Favorable Exit,"1,383",,no
10.1016/j.jbusres.2015.12.049,,China,cognitive,Functional and national,Organizational performance,107,,no
10.1142/s0219877019500056,,,job-related,,Creativity,,,no
4595,,United States,demographic,Racial,Creativity,,178,no
10.1037/0021-9010.92.5.1189,,,job-related,,Creativity,,,no
43585,,,demographic; cognitive; job-related,"Ethnic , team tenure , gender , perceived team","Employee performance, health symptoms, affective linkages","Study 1: 1767 employees and 256 leaders in intact working teams of a large financial services firm, Study 2: 220 natural work teams (N 1st year = 4538; N 2nd year=5182), Study 3: Study A: 170 employees in 33 Israeli teams, Study B: 304 employees in 61 German teams",,no
10.2139/ssrn.922768,,,cognitive; job-related,,Productivity,,,no
25244,Between January 1998 and January 2000,,,"Geographic locations, functional assignments, reporting managers, and business units",Knowledge sharing,182,,no
10.5465/ambpp.2017.16140abstract,,,cognitive,,Creativity,103,513,no
10.3389/fpsyg.2021.732171,,Portugal,,,Group innovation,138,625 members and their respective leaders,no
10.5465/ambpp.2022.14117abstract,,,job-related,Racial,New venture survival,"2,459",,no
10.5465/ambpp.2020.21050abstract,,,job-related,Skill and information-based differences,Group performance,,,no
10.1002/sej.55,,,,,Creativity,,,
10.5465/ambpp.2017.14775abstract,,,demographic,Racioethnic and gender,"Business performance, sports team performance, voluntary turnover and sales revenue",,,no
10.1002/job.188,,,demographic,,,,,no
10.1108/md-08-2014-0540,,,job-related,Affective,Managerial decision performance,,,yes
10.1111/1748-8583.12184,,Denmark,demographic,,Productivity/Team member performance,23,174,no
34253,95,,job-related,Surface level and deep level,Team innovation,138,"552 (138 team leaders, 414 team members)",no
10.1007/s12144-021-01507-y,,,,,Creativity,46,527,no
10.2307/3094807,,,job-related,,Creativity,83,,no
10.5465/apbpp.2001.6133646,,,job-related,Functional and demographic,"Creative task performance, social integration, group identification, emotional conflict, task conflict",83,,no
10.1080/08956308.2009.11657596,,,cognitive,functional,innovation,28,,no
10.1016/j.jbusres.2015.10.007,2003 [1996-2010],Italy,,,Project performance,,1736 actors,no
10.1002/smj.3473,,,cognitive,Technological knowledge,Innovation,,"63,976",no
10.1177/1548051818789371,,Japan,job-related,Tenure,Firm performance,,,no
10.2139/ssrn.4051922,,,,Ethnic,,,,
10.1177/1046496498296004,,,cognitive,Value,"Personal satisfaction, group creativity, and group effectiveness",11,,yes
4733,,,demographic,"Race/nationality, gender, age","Group-member satisfaction, perceived group fit, group effectiveness, and group creativity",,,
10.1108/s1745-886220170000012022,2018,,demographic,,"Performance, Relationship conflict",,267,yes
10.1016/j.jretconser.2020.102321,,,,,"Retailer performance (comparable store sales, profit per store, and Tobin's q)",120,,no
10.5465/ambpp.2012.112,,,,,Firm performance,,,no
10.5465/ambpp.2017.11863abstract,,,,,Performance and viability,87,658,no
24405,1992 - 2016,United States,,Political,Benchmark-adjusted returns,2500,,no
10.17705/1jais.00416,2015,,,,,,,no
10.1037/a0017503,,United States,demographic,,Group processes,8,,yes
34395,,Colombia,,,Firm performance,,,no
10.1108/cms-09-2017-0262,,China,cognitive,,creativity,48,216,no
10.5465/ambpp.2015.13812abstract,,,cognitive; job-related,cognitive,creativity,106,382,no
2372,,,,Ethnic and cognitive,Creativity,,,
5120,,,cognitive,,Innovation,9,,no
10.1016/j.jbusres.2021.10.027,,,cognitive,,Creativity,91,453,no
10.1016/j.jbusres.2016.02.026,,,cognitive,,Creativity,62,,no
10.5465/ambpp.2010.54484962,,,cognitive,,decision-making,,,
6861,,,cognitive,,Team performance,94,,yes
34400,,,cognitive,Cognitive,Team performance,94,,yes
10.1177/1046496415570916,,,cognitive,,Team viability and task performance,,,
10.2224/sbp.2016.44.2.209,,China,cognitive,,Team performance,191,"1,020",no
2554,,,cognitive,Cognitive style,Novel measures of group performance,,,
40263,,,cognitive,Cognitive style,Team performance,,,
43243,,,cognitive,Cognitive styles,Execution tasks and creativity,,346 (sum of individuals from three studies),yes (graduate-student teams)
40264,,,cognitive,Cognitive style,Execution and creativity,,,yes
2344,,,cognitive,,Creativity,,,
10.5465/ambpp.2019.16586abstract,,,cognitive,,Creativity,,,no
10.5465/ambpp.2013.17297abstract,,,cognitive,,Coordination and execution tasks,,,
10.1142/s1363919617500347,,United States,job-related,Functional-level,Innovation,,375,no
10.1109/ipcc.2005.1494243,2005,,,,,,,no
10.1080/14479338.2021.1989308,,China,demographic; cognitive,Gender and Education,Innovation,156,,no
10.1016/j.lrp.2009.10.006,2009,,cognitive,,Innovation,,,no
10.5465/ambpp.2017.17168abstract,,,demographic,,Fundraising,,,no
10.1016/j.jvb.2005.04.001,2005,,,,Creativity,,,yes
10.1590/s1678-69712010000300003,,,,,,,,no
10.1002/(sici)1099-1379(199705)18:3<275::aid-job796>3.0.co;2-c,,United States,,,Team performance,33,148,no
10.1111/1467-9310.00130,,,,,creativity,,,no
10.1016/j.intman.2020.100809,2020,,,,Interpersonal process effectiveness,,262,no
34435,,,,Functional demographic,Innovation,15,,yes
10.5465/3069319,,,job-related,Functional,Information sharing and unit performance,,,no
21418,,,job-related,Functional,Information sharing and unit performance,,,no
10.2307/3069319,,,job-related,Functional,Information sharing and unit performance,44,,no
34459,,,,,Performance feedback influence and intragroup trust,,4 per team,
10.1287/mnsc.2013.1840,,,,,Creativity,,,no
4313,,"Australia, China, Pakistan",,Compensation committee gender,CEO pay-performance link,,,no
10.1111/j.1467-9310.2005.00379.x,1996 [1994-1998],United States,,Human capital,Entrepreneurial performance,,,no
10.1002/mde.1193,,,,,"""Firm Performance""",,,no
5954,,,job-related,Heterogeneous teams,Innovation,59,,no
10.1002/asi.21464,2006.5 [2005-2008],,job-related,,Productivity,89,,no
10.1037/0021-9010.82.1.62,,,,,Creativity,61,289,yes
10.1002/tie.22262,,Thailand; Singapore,demographic,National,Subsidiary performance,,,no
21055,,,demographic,Cultural,Perceived Group Performance,,,no
10.1108/eb022856,,,,Cultural heterogeneity,Task conflict and affective conflict,24,,no
10.1037/gdn0000058,,,job-related,Temporal and polychronicity,Team performance,,,no
10.5465/ambpp.2016.118,,Japan,cognitive,Intrapersonal in function and genre,Creative team performance,,"9,855 music singles from the Japanese music industry published over 27 years",no
10.1177/1368430212437798,2013,,demographic,Ethnic,Team functioning,,,no
10.5465/ambpp.2018.12832symposium,,,,Female leadership,Organizational performance,,,no
10.1007/s10490-013-9355-7,,Taiwan,cognitive,Knowledge heterogeneity,New product development,128,,no
10.5465/ambpp.2019.18636abstract,2007.5 [2000-2015],,job-related,Knowledge,Novelty,,,no
10.1111/jpim.12521,1985 [1962-2008],,,,New product performance,"2,621","34,265",no
10.3109/13561820.2013.820906,,,,,,,,
10.1108/eb054597,,,,,,,,
10.1111/corg.12376,2010 [2006-2014],Belgium,,,CEO dismissal,,,no
43609,,,,,"Conflict, morale, and performance",79,,no
34612,,,,,Creativity,,,no
10.2307/1556384,,,,Nationality,Task performance,5,"290 (37 managers in field study, 92 managers in first laboratory study, and 161 MBA students in second laboratory study)",yes (MBA students)
10.1177/1059601115586910,2015,,,,"team effectiveness, affective and performance-based outcomes, team satisfaction, and viability",30,121,
10.1108/tpm-06-2020-0049,,,,,Team performance (creative problem-solving),,,no
10.1037/a0029359,,4 countries,job-related; cognitive,functional background,creativity,34,176,no
4581,,,cognitive,Creative styles,Creativity,,,no
10.1080/00918369.2011.598413,,,job-related,Sexual orientation,Creativity,,653,no
10.9770/jesi.2015.3.1(2)t,,,,Ethnic assumed,Creativity and effectiveness assumed,,,
10.1080/135943297399169,,,,Sex,Creativity,15,,
10.5465/ambpp.2022.15246symposium,,,demographic,Racial,Creativity,,,
10.4018/978-1-59904-129-2.ch002,,,,,Creativity,Nearly 100,400 graduate students,yes
10.1007/978-1-4020-9877-2_10,,,,Ethnic,Creativity,,,
10.1177/00187208211048301,2021,,job-related,,Creativity,,,no
10.1016/j.respol.2014.10.007,,,,,Creativity,,,no
34624,,,,,Creativity,,,
10.1177/1046496410397382,,,demographic,"Race, Sex, Age, Nationality",Creativity,,,no
10.1177/10464964221116635,,,cognitive,Creative Skills,Creativity,50,301,no
10.1080/10429247.2011.11431906,,,demographic,Cultural,Team performance,,,no
16398,,,job-related,,Creativity,88,,yes
10.5465/ambpp.2017.10856abstract,,,job-related,Knowledge,Innovation,,,no
10.1016/j.hrmr.2017.03.002,,,,,Innovation,,,no
10.1108/02634500910955272,,,job-related,Gender,Business communication effectiveness,,,yes
10.1080/1359432x.2012.662488,,,cognitive,temporal,team effectiveness,,,no
10.1108/09696471111103704,,,cognitive,cultural,knowledge creation,98,,no
10.1509/jmkr.38.1.73.18833,,,,,creativity,141,,no
10.2307/3069369,,,job-related,functional,"technical quality and schedule, budget performance, and group cohesiveness",93,,no
10.1108/13527591311312088,,,,,Cross-functional team effectiveness,,,yes
10.1016/j.technovation.2007.02.012,,Taiwan,,,New product development project performance,133,,no
10.1080/13594320600826314,,,job-related,,Creativity,,,no
10.5465/amj.2006.21794664,,,job-related,Ethnic and Gender,Sales Performance and Pay,437,,no
10.5465/amr.2010.45577787,,,cognitive,,Group performance and learning,,,no
10.1038/s41598-021-89498-5,,,,Gender and racial identities,Creativity,,,
10.1016/j.lrp.2017.08.006,,,,,Buyout performance,,,no
10.1016/b978-0-12-809324-5.23723-1,,,,Ethnic,Creativity,,,no
43603,,,job-related,Cultural,Team Performance,,,
10.5465/amj.2010.0992,,,,Cultural,Team performance,,,
10.1177/0022022199030002006,,,demographic,Cultural,Work group effectiveness,,,no
10.1108/ijis-06-2020-0087,2021,,demographic,Cultural,Innovation,9,,no
10.5465/20159576,,,demographic,Racial and gender,Firm performance,,,no
10.2307/20159576,,,demographic,Racial and gender in management,Firm performance,,,no
10.1111/ecge.12016,2006 [2005-2007],London,demographic,Cultural,"Innovation, entrepreneurship, and sales strategies",,,no
10.2307/256593,,,demographic,Cultural,Interaction process and performance,,,no
10.18848/1447-9524/cgp/v13/50966,,Global sample,,,Team effectiveness,,27,no
10658,,,job-related,Cultural,Team performance and satisfaction,,,yes
34654,,,demographic; cognitive,Cultural,Team outcomes (performance and satisfaction),,,yes
10.1016/j.copsyc.2015.12.001,,,,Nationality and cultural values,"Team functioning, global virtual teams, receptivity to empowering leadership behavior",,,no
10.5465/ambpp.2021.12340symposium,,,demographic; cognitive; job-related,Culture clash,Organizational performance,,,
10.1080/14783363.2014.970876,2009 [2006-2012],,,,"Achievement of quality, budget, and deadline goals",1500,,no
34789,,Italy,demographic,"age, grade",innovation,,,no
6378,,,job-related,Expertise,Innovation,57,,no
10.1007/bf02354858,,United States,demographic,Gender and ethnicity,Decision-making effectiveness,57 schools with management leadership councils,682 council members,no
10.1016/j.obhdp.2005.08.006,,,,Racial and job-function,Decision accuracy,,,no
10.1142/s0219622017500171,,,demographic,,Business performance,,,no
4350,,,cognitive,Knowledge depth,"Problem solving, publication success",,,no
40420,,,cognitive,Knowledge depth and,"Problem-solving, publication success",,,
10.3389/fdata.2019.00014,2019,,,,Creativity,,,no
10.1037/0021-9010.92.3.595,,,,,Creativity,,,no
10.1108/jibr-01-2019-0007,2020,India,,"Homogeneous, Heterogeneous, and Mixed",Team creative output,,30 in each experimental condition,no
10.1007/s11365-020-00654-1,,,job-related,leadership orientation and achievement motivation,task-related team efficacy and team satisfaction,133,665,no
10.5465/ambpp.2013.14599abstract,,Germany,job-related,Values,Team and organizational performance,69,,no
10.1177/1046496409346550,2009,,demographic,,"Team effectiveness, team in-role performance, and team satisfaction",57,420,no
10.1007/s11024-020-09404-7,,,job-related,Multidisciplinarity,Research performance,,,no
10.1287/mnsc.47.5.611.10482,,,,,,,,no
10.1002/job.428,,,job-related,"Demographic (ethnic, gender, and age)",Team performance,19,,no
2622,,,demographic,,Productivity,,,no
2498,,,demographic,nationality,team effectiveness and productivity,,,no
34716,2007,,demographic,,Team performance,80,,no
10.13106/jafeb.2020.vol7.no3.311,,South Korea,demographic,,Group Performance,82,1082,no
34717,2001,South Korea,demographic,educational background,project team performance,31,191,no
10.1287/orsc.3.3.321,,,job-related,Functional and tenure,Team performance,45,409,no
23867,,,,,Creativity,32,,no
2483,,,,,creativity (not specified clearly in the abstract),,,
10.1002/job.117,2001,,job-related,Racioethnicity and nationality,"Cognitive, affective, and behavioral outcomes",,,no
10.1145/638249.638277,,,demographic,,,,,
10.31577/cai_2020_5_994,2021,,,,Software quality and team productivity,,,no
10.1002/9781118909997.ch22,,,,Cultural,Performance Type: Creativity and informational,,,
10.1002/piq.21293,2019,,,,Creativity,,260,yes
10.1026/0932-4089/a000022,,,demographic,Age,"Team efficiency (emotional exhaustion, innovative performance, identification with the team, and job satisfaction)",157,,no
10.1287/isre.2018.0773,2018,,job-related,Racial and gender,Decision-making,46,,no
10.1111/ssqu.13164,,,,Gender,Team performance in developing business plans,,,yes
10.1007/s10869-017-9488-7,,,job-related,Power values,Team performance,60,,no
10.5465/amj.2016.0642,,,cognitive,Informational,Creativity,,,no
10.1007/s12144-020-00813-1,,Taiwan,cognitive,Expertise and expertise dissimilarity,Creativity,57,368,no
10.5465/ambpp.2014.10391abstract,,United States,demographic,Racial,Motivation and performance,68,198,yes
10.2139/ssrn.3412524,,United States,job-related,Coaching,Individual and team performance,,,no
10.2139/ssrn.4086572,,,,Informational,Firm performance,,,no
34912,,Sweden,,,Strategic change propensity,,,no
7143,,,job-related; demographic,Occupational and Gender,"CEO Performance-turnover sensitivity, improved performance following CEO replacement, and excess compensation",,,no
10.1111/1911-3846.12332,,,,Director tenure,"CEO performance-turnover sensitivity, accounting restatements, excess compensation",,,no
11667,2014,,,,GVT Performance,290,,yes
